#Parameters = {Conductivity=2000; L=38; Thickness=0.01; W=3; depth=15}
#"Frequency / GHz"	"S1,1 (4) [Magnitude / dB]"
#---------------------------------------------
0.0099999997764826	-33.523804428269
0.011989999562502	-32.027221982428
0.013980000279844	-30.742995201636
0.015969999134541	-29.620158402972
0.017960000783205	-28.623640912683
0.019950000569224	-27.728465271174
0.021940000355244	-26.916293825828
0.023930000141263	-26.173296173819
0.025919999927282	-25.488806424058
0.027909999713302	-24.854433000870
0.029899999499321	-24.263459288243
0.031890001147985	-23.710432530887
0.033879999071360	-23.190863413165
0.035870000720024	-22.701014291327
0.037859998643398	-22.237740341098
0.039850000292063	-21.798373935539
0.041839998215437	-21.380629375489
0.043829999864101	-20.982533952475
0.045820001512766	-20.602376015314
0.047809999436140	-20.238657535068
0.049800001084805	-19.890063525669
0.051789999008179	-19.555432608026
0.053780000656843	-19.233731056593
0.055769998580217	-18.924036470259
0.057760000228882	-18.625527001810
0.059749998152256	-18.337457504308
0.061739999800920	-18.059161325790
0.063730001449585	-17.790030450823
0.065719999372959	-17.529514859872
0.067709997296333	-17.277114196057
0.069700002670288	-17.032368550725
0.071690000593662	-16.794860139885
0.073679998517036	-16.564202380186
0.075669996440411	-16.340041222806
0.077660001814365	-16.122049197789
0.079649999737740	-15.909926595637
0.081639997661114	-15.703388757645
0.083630003035069	-15.502182640108
0.085620000958443	-15.306062934131
0.087609998881817	-15.114806370641
0.089599996805191	-14.928204630882
0.091590002179146	-14.746062609201
0.093580000102520	-14.568196971507
0.095569998025894	-14.394438167892
0.097560003399849	-14.224624056307
0.099550001323223	-14.058608384906
0.10153999924660	-13.896247427447
0.10352999716997	-13.737409175058
0.10552000254393	-13.581968473161
0.10751000046730	-13.429808315865
0.10949999839067	-13.280817722604
0.11148999631405	-13.134892403778
0.11348000168800	-12.991932601228
0.11546999961138	-12.851844553261
0.11745999753475	-12.714541654987
0.11945000290871	-12.579937090972
0.12144000083208	-12.447953439857
0.12342999875546	-12.318514347248
0.12542000412941	-12.191548837136
0.12740999460220	-12.066987395470
0.12939999997616	-11.944766715801
0.13139000535011	-11.824822996355
0.13337999582291	-11.707100430506
0.13537000119686	-11.591539420627
0.13736000657082	-11.478089019476
0.13934999704361	-11.366698390438
0.14134000241756	-11.257315982252
0.14332999289036	-11.149897383809
0.14531999826431	-11.044395942540
0.14731000363827	-10.940769468664
0.14929999411106	-10.838977434158
0.15128999948502	-10.738980397892
0.15328000485897	-10.640738064484
0.15526999533176	-10.544214926164
0.15726000070572	-10.449376208977
0.15925000607967	-10.356186888260
0.16123999655247	-10.264614072303
0.16323000192642	-10.174626018174
0.16522000730038	-10.086190860872
0.16720999777317	-9.9992816168832
0.16920000314713	-9.9138654847404
0.17118999361992	-9.8299168472359
0.17317999899387	-9.7474062010286
0.17517000436783	-9.6663078680032
0.17715999484062	-9.5865947372972
0.17915000021458	-9.5082441405209
0.18114000558853	-9.4312269047229
0.18312999606133	-9.3555214289825
0.18512000143528	-9.2811034966122
0.18711000680923	-9.2079484396923
0.18909999728203	-9.1360355202763
0.19109000265598	-9.0653388624091
0.19307999312878	-8.9958384118253
0.19506999850273	-8.9275098119598
0.19706000387669	-8.8603366769442
0.19904999434948	-8.7942914030610
0.20103999972343	-8.7293581435047
0.20303000509739	-8.6655139316923
0.20501999557018	-8.6027379211078
0.20701000094414	-8.5410108913216
0.20900000631809	-8.4803120741286
0.21098999679089	-8.4206235549333
0.21298000216484	-8.3619260163742
0.21496999263763	-8.3041987098447
0.21695999801159	-8.2474223397518
0.21895000338554	-8.1915826912675
0.22093999385834	-8.1366576798751
0.22292999923229	-8.0826284355115
0.22492000460625	-8.0294822753356
0.22690999507904	-7.9771963617429
0.22890000045300	-7.9257581211392
0.23089000582695	-7.8751482946071
0.23287999629974	-7.8253523941773
0.23487000167370	-7.7763536206454
0.23686000704765	-7.7281346668981
0.23884999752045	-7.6806827025790
0.24084000289440	-7.6339825847644
0.24282999336720	-7.5880185588824
0.24481999874115	-7.5427792011737
0.24681000411510	-7.4982486558033
0.24879999458790	-7.4544133768991
0.25078999996185	-7.4112648371827
0.25277999043465	-7.3687874871946
0.25477001070976	-7.3269695809385
0.25676000118256	-7.2858039088013
0.25874999165535	-7.2452743959964
0.26074001193047	-7.2053778931810
0.26273000240326	-7.1661001642690
0.26471999287605	-7.1274333856766
0.26671001315117	-7.0893709942739
0.26870000362396	-7.0519049942994
0.27068999409676	-7.0150275807594
0.27268001437187	-6.9787338545420
0.27467000484467	-6.9430162669001
0.27665999531746	-6.9078723325498
0.27864998579025	-6.8732939946477
0.28064000606537	-6.8392800324234
0.28262999653816	-6.8058268718122
0.28461998701096	-6.7729296050874
0.28661000728607	-6.7405895342167
0.28859999775887	-6.7088021513480
0.29058998823166	-6.6775681311800
0.29258000850677	-6.6468851568506
0.29456999897957	-6.6167555688063
0.29655998945236	-6.5871778342130
0.29855000972748	-6.5581538325786
0.30054000020027	-6.5296833373167
0.30252999067307	-6.5017692794944
0.30452001094818	-6.4744151542524
0.30651000142097	-6.4476196836523
0.30849999189377	-6.4213879613086
0.31049001216888	-6.3957237907631
0.31248000264168	-6.3706269884025
0.31446999311447	-6.3461038476342
0.31646001338959	-6.3221583797026
0.31845000386238	-6.2987917318646
0.32043999433517	-6.2760097328971
0.32243001461029	-6.2538146990261
0.32442000508308	-6.2322111387503
0.32640999555588	-6.2112039234499
0.32839998602867	-6.1907948420152
0.33039000630379	-6.1709884220095
0.33237999677658	-6.1517879641353
0.33436998724937	-6.1331955008266
0.33636000752449	-6.1152151699272
0.33834999799728	-6.0978505244651
0.34033998847008	-6.0811026578048
0.34233000874519	-6.0649738652881
0.34431999921799	-6.0494656959310
0.34630998969078	-6.0345802877985
0.34830000996590	-6.0203177155721
0.35029000043869	-6.0066775309481
0.35227999091148	-5.9936588671965
0.35427001118660	-5.9812634469397
0.35626000165939	-5.9694879624347
0.35824999213219	-5.9583316310942
0.36024001240730	-5.9477917926146
0.36223000288010	-5.9378630951471
0.36421999335289	-5.9285440024172
0.36621001362801	-5.9198300874160
0.36820000410080	-5.9117140718203
0.37018999457359	-5.9041925802632
0.37218001484871	-5.8972566497652
0.37417000532150	-5.8908998881109
0.37615999579430	-5.8851146878130
0.37814998626709	-5.8798915470545
0.38014000654221	-5.8752228462208
0.38212999701500	-5.8710958962277
0.38411998748779	-5.8675014485331
0.38611000776291	-5.8644295336857
0.38809999823570	-5.8618650989687
0.39008998870850	-5.8597959253511
0.39208000898361	-5.8582119159048
0.39406999945641	-5.8570952919278
0.39605998992920	-5.8564351458525
0.39805001020432	-5.8562159393419
0.40004000067711	-5.8564198116665
0.40202999114990	-5.8570338276615
0.40402001142502	-5.8580434379601
0.40601000189781	-5.8594299193831
0.40799999237061	-5.8611754266773
0.40999001264572	-5.8632668820484
0.41198000311852	-5.8656846631790
0.41396999359131	-5.8684147054369
0.41596001386642	-5.8714387926128
0.41795000433922	-5.8747376232991
0.41993999481201	-5.8782981592742
0.42192998528481	-5.8821020311814
0.42392000555992	-5.8861338825491
0.42590999603271	-5.8903771789878
0.42789998650551	-5.8948161526484
0.42989000678062	-5.8994359726020
0.43187999725342	-5.9042224592392
0.43386998772621	-5.9091610445774
0.43586000800133	-5.9142390761975
0.43784999847412	-5.9194435813186
0.43983998894691	-5.9247622312319
0.44183000922203	-5.9301860895800
0.44381999969482	-5.9357022809632
0.44580999016762	-5.9413043206805
0.44780001044273	-5.9469821383709
0.44979000091553	-5.9527299673842
0.45177999138832	-5.9585399149507
0.45377001166344	-5.9644092962669
0.45576000213623	-5.9703324881472
0.45774999260902	-5.9763091578036
0.45974001288414	-5.9823380365549
0.46173000335693	-5.9884175869307
0.46371999382973	-5.9945481274434
0.46571001410484	-6.0007348942672
0.46770000457764	-6.0069782805502
0.46968999505043	-6.0132857563077
0.47167998552322	-6.0196619354449
0.47367000579834	-6.0261150807626
0.47565999627113	-6.0326533549600
0.47764998674393	-6.0392851102524
0.47964000701904	-6.0460216276637
