#Parameters = {L=38; Thickness=0.01; W=3; depth=15}
#"Frequency / GHz"	"S1,1 [Magnitude / dB]"
#-----------------------------------------
0.0099999997764826	-33.078503508417
0.011989999562502	-31.533831947209
0.013980000279844	-30.219813410242
0.015969999134541	-29.077223182312
0.017960000783205	-28.066891560677
0.019950000569224	-27.161627146500
0.021940000355244	-26.341813752558
0.023930000141263	-25.592845067280
0.025919999927282	-24.903560147723
0.027909999713302	-24.265241270049
0.029899999499321	-23.670952313395
0.031890001147985	-23.115086131727
0.033879999071360	-22.593042429640
0.035870000720024	-22.101005974112
0.037859998643398	-21.635773650062
0.039850000292063	-21.194633311921
0.041839998215437	-20.775266756688
0.043829999864101	-20.375677594306
0.045820001512766	-19.994135270488
0.047809999436140	-19.629130247401
0.049800001084805	-19.279334712468
0.051789999008179	-18.943577707958
0.053780000656843	-18.620821081453
0.055769998580217	-18.310139143587
0.057760000228882	-18.010704014883
0.059749998152256	-17.721770350864
0.061739999800920	-17.442667763900
0.063730001449585	-17.172788524875
0.065719999372959	-16.911581466947
0.067709997296333	-16.658543233980
0.069700002670288	-16.413216022845
0.071690000593662	-16.175179419939
0.073679998517036	-15.944046748185
0.075669996440411	-15.719464152479
0.077660001814365	-15.501102934074
0.079649999737740	-15.288660332422
0.081639997661114	-15.081856696500
0.083630003035069	-14.880429862209
0.085620000958443	-14.684137861907
0.087609998881817	-14.492754893225
0.089599996805191	-14.306070483088
0.091590002179146	-14.123885902424
0.093580000102520	-13.946017360517
0.095569998025894	-13.772291294273
0.097560003399849	-13.602544225230
0.099550001323223	-13.436624735439
0.10153999924660	-13.274385990161
0.10352999716997	-13.115693911827
0.10552000254393	-12.960418867497
0.10751000046730	-12.808440310542
0.10949999839067	-12.659642660319
0.11148999631405	-12.513916199723
0.11348000168800	-12.371158405890
0.11546999961138	-12.231271635984
0.11745999753475	-12.094162774613
0.11945000290871	-11.959742306561
0.12144000083208	-11.827927662365
0.12342999875546	-11.698636682161
0.12542000412941	-11.571793724289
0.12740999460220	-11.447327765595
0.12939999997616	-11.325166490746
0.13139000535011	-11.205245547633
0.13337999582291	-11.087502261124
0.13537000119686	-10.971874511507
0.13736000657082	-10.858305426538
0.13934999704361	-10.746739308586
0.14134000241756	-10.637125636609
0.14332999289036	-10.529410290638
0.14531999826431	-10.423548250531
0.14731000363827	-10.319492546990
0.14929999411106	-10.217197661640
0.15128999948502	-10.116620827300
0.15328000485897	-10.017725445367
0.15526999533176	-9.9204679595609
0.15726000070572	-9.8248129894367
0.15925000607967	-9.7307253222980
0.16123999655247	-9.6381687181150
0.16323000192642	-9.5471129228503
0.16522000730038	-9.4575228013949
0.16720999777317	-9.3693706408881
0.16920000314713	-9.2826261557225
0.17118999361992	-9.1972615530445
0.17317999899387	-9.1132481576413
0.17517000436783	-9.0305611459361
0.17715999484062	-8.9491733183090
0.17915000021458	-8.8690630227833
0.18114000558853	-8.7902051181094
0.18312999606133	-8.7125760028181
0.18512000143528	-8.6361554894017
0.18711000680923	-8.5609218469277
0.18909999728203	-8.4868511129947
0.19109000265598	-8.4139251614330
0.19307999312878	-8.3421235622560
0.19506999850273	-8.2714288841676
0.19706000387669	-8.2018176347691
0.19904999434948	-8.1332765249896
0.20103999972343	-8.0657851333102
0.20303000509739	-7.9993247045106
0.20501999557018	-7.9338807205730
0.20701000094414	-7.8694333194387
0.20900000631809	-7.8059646887217
0.21098999679089	-7.7434621548332
0.21298000216484	-7.6819067446340
0.21496999263763	-7.6212821035182
0.21695999801159	-7.5615731069224
0.21895000338554	-7.5027635963536
0.22093999385834	-7.4448378526475
0.22292999923229	-7.3877803315123
0.22492000460625	-7.3315762000377
0.22690999507904	-7.2762091063780
0.22890000045300	-7.2216674840552
0.23089000582695	-7.1679332511879
0.23287999629974	-7.1149920703993
0.23487000167370	-7.0628313205610
0.23686000704765	-7.0114341706745
0.23884999752045	-6.9607890948418
0.24084000289440	-6.9108809885475
0.24282999336720	-6.8616956722928
0.24481999874115	-6.8132221262413
0.24681000411510	-6.7654436407810
0.24879999458790	-6.7183496358465
0.25078999996185	-6.6719280228720
0.25277999043465	-6.6261660686121
0.25477001070976	-6.5810506085542
0.25676000118256	-6.5365727063180
0.25874999165535	-6.4927175374822
0.26074001193047	-6.4494775857746
0.26273000240326	-6.4068388747313
0.26471999287605	-6.3647944306081
0.26671001315117	-6.3233336042079
0.26870000362396	-6.2824488540333
0.27068999409676	-6.2421275971559
0.27268001437187	-6.2023661818776
0.27467000484467	-6.1631539352417
0.27665999531746	-6.1244863412925
0.27864998579025	-6.0863547038334
0.28064000606537	-6.0487528806254
0.28262999653816	-6.0116772964866
0.28461998701096	-5.9751206758438
0.28661000728607	-5.9390816322850
0.28859999775887	-5.9035553779247
0.29058998823166	-5.8685353554386
0.29258000850677	-5.8340237818481
0.29456999897957	-5.8000155546725
0.29655998945236	-5.7665120412009
0.29855000972748	-5.7335074415561
0.30054000020027	-5.7010046208634
0.30252999067307	-5.6690026507366
0.30452001094818	-5.6375026481603
0.30651000142097	-5.6065039021056
0.30849999189377	-5.5760074289215
0.31049001216888	-5.5460185470747
0.31248000264168	-5.5165358701794
0.31446999311447	-5.4875611275389
0.31646001338959	-5.4590989594739
0.31845000386238	-5.4311524095152
0.32043999433517	-5.4037252884396
0.32243001461029	-5.3768187078203
0.32442000508308	-5.3504368274676
0.32640999555588	-5.3245823275144
0.32839998602867	-5.2992610952837
0.33039000630379	-5.2744749100575
0.33237999677658	-5.2502284360886
0.33436998724937	-5.2265254230694
0.33636000752449	-5.2033688352999
0.33834999799728	-5.1807603691194
0.34033998847008	-5.1587063212006
0.34233000874519	-5.1372089075938
0.34431999921799	-5.1162673020223
0.34630998969078	-5.0958869617670
0.34830000996590	-5.0760693305882
0.35029000043869	-5.0568151657532
0.35227999091148	-5.0381264249761
0.35427001118660	-5.0200027634541
0.35626000165939	-5.0024440980383
0.35824999213219	-4.9854514243968
0.36024001240730	-4.9690211815228
0.36223000288010	-4.9531536200029
0.36421999335289	-4.9378471135231
0.36621001362801	-4.9230953652703
0.36820000410080	-4.9088984511948
0.37018999457359	-4.8952513008237
0.37218001484871	-4.8821459209453
0.37417000532150	-4.8695805900749
0.37615999579430	-4.8575466148606
0.37814998626709	-4.8460374496857
0.38014000654221	-4.8350441769887
0.38212999701500	-4.8245615308146
0.38411998748779	-4.8145752630750
0.38611000776291	-4.8050804034992
0.38809999823570	-4.7960633058993
0.39008998870850	-4.7875118384294
0.39208000898361	-4.7794175599997
0.39406999945641	-4.7717657033664
0.39605998992920	-4.7645447313132
0.39805001020432	-4.7577366650125
0.40004000067711	-4.7513322243671
0.40202999114990	-4.7453136905551
0.40402001142502	-4.7396686517152
0.40601000189781	-4.7343788566925
0.40799999237061	-4.7294295813940
0.40999001264572	-4.7248041164399
0.41198000311852	-4.7204883663732
0.41396999359131	-4.7164644988948
0.41596001386642	-4.7127143573082
0.41795000433922	-4.7092243590989
0.41993999481201	-4.7059742971663
0.42192998528481	-4.7029510980688
0.42392000555992	-4.7001354748413
0.42590999603271	-4.6975133501115
0.42789998650551	-4.6950676047812
0.42989000678062	-4.6927835392331
0.43187999725342	-4.6906461169209
0.43386998772621	-4.6886387634521
0.43586000800133	-4.6867502061040
0.43784999847412	-4.6849650781174
0.43983998894691	-4.6832716317920
0.44183000922203	-4.6816562265978
0.44381999969482	-4.6801099832066
0.44580999016762	-4.6786204578920
0.44780001044273	-4.6771793098368
0.44979000091553	-4.6757787343949
0.45177999138832	-4.6744088696628
0.45377001166344	-4.6730648245916
0.45576000213623	-4.6717430944030
0.45774999260902	-4.6704346506689
0.45974001288414	-4.6691396684340
0.46173000335693	-4.6678570952031
0.46371999382973	-4.6665829179407
0.46571001410484	-4.6653190726590
0.46770000457764	-4.6640669068642
0.46968999505043	-4.6628293282800
0.47167998552322	-4.6616086771437
0.47367000579834	-4.6604125705008
0.47565999627113	-4.6592449551881
0.47764998674393	-4.6581121421952
0.47964000701904	-4.6570246328684
0.48162999749184	-4.6559913423271
0.48361998796463	-4.6550217374266
0.48561000823975	-4.6541271352383
0.48759999871254	-4.6533186300950
0.48958998918533	-4.6526102008296
0.49158000946045	-4.6520169090298
0.49356999993324	-4.6515514193993
0.49555999040604	-4.6512295912871
0.49755001068115	-4.6510657983067
0.49954000115395	-4.6510780091344
0.50152999162674	-4.6512817026515
0.50352001190186	-4.6516958502619
0.50550997257233	-4.6523364397871
0.50749999284744	-4.6532219048007
0.50949001312256	-4.6543695564574
0.51147997379303	-4.6557985837927
0.51346999406815	-4.6575277791194
0.51546001434326	-4.6595733678304
0.51744997501373	-4.6619532423856
0.51943999528885	-4.6646870583507
0.52143001556396	-4.6677924154916
0.52341997623444	-4.6712877551854
0.52540999650955	-4.6751886558352
0.52740001678467	-4.6795116028683
0.52938997745514	-4.6842726142567
0.53137999773026	-4.6894907299617
0.53337001800537	-4.6951792956629
0.53535997867584	-4.7013527344820
0.53734999895096	-4.7080267969347
0.53934001922607	-4.7152125489764
0.54132997989655	-4.7229255646768
0.54332000017166	-4.7311767528564
0.54531002044678	-4.7399775702143
0.54729998111725	-4.7493386881499
0.54929000139236	-4.7592694774790
0.55128002166748	-4.7697770382181
0.55326998233795	-4.7808739606254
0.55526000261307	-4.7925651902553
0.55725002288818	-4.8048548345159
0.55923998355865	-4.8177528656040
0.56123000383377	-4.8312589154335
0.56322002410889	-4.8453789070561
0.56520998477936	-4.8601144286236
0.56720000505447	-4.8754690541428
0.56919002532959	-4.8914437326032
0.57117998600006	-4.9080366319414
0.57317000627518	-4.9252470475543
0.57516002655029	-4.9430762936570
0.57714998722076	-4.9615184939829
0.57914000749588	-4.9805711792342
0.58113002777100	-5.0002302565703
0.58311998844147	-5.0204893632987
0.58511000871658	-5.0413450605881
0.58710002899170	-5.0627902367530
0.58908998966217	-5.0848183204308
0.59108000993729	-5.1074195966520
0.59306997060776	-5.1305879854707
0.59505999088287	-5.1543119715571
0.59705001115799	-5.1785850252985
0.59903997182846	-5.2033934334282
0.60102999210358	-5.2287308259540
0.60302001237869	-5.2545838623889
0.60500997304916	-5.2809412076590
0.60699999332428	-5.3077926248897
0.60899001359940	-5.3351241272405
0.61097997426987	-5.3629272864735
0.61296999454498	-5.3911871575656
0.61496001482010	-5.4198913564562
0.61694997549057	-5.4490300724544
0.61893999576569	-5.4785879183275
0.62093001604080	-5.5085541339088
0.62291997671127	-5.5389177427796
0.62490999698639	-5.5696654188369
0.62690001726151	-5.6007848547182
0.62888997793198	-5.6322652726636
0.63087999820709	-5.6640969165411
0.63287001848221	-5.6962655279379
0.63485997915268	-5.7287630927864
0.63684999942780	-5.7615813624160
0.63884001970291	-5.7947081840591
0.64082998037338	-5.8281343573538
0.64282000064850	-5.8618545777615
0.64481002092361	-5.8958573158281
0.64679998159409	-5.9301373470257
0.64879000186920	-5.9646905628812
0.65078002214432	-5.9995093074204
0.65276998281479	-6.0345881585344
0.65476000308990	-6.0699242023686
0.65675002336502	-6.1055138777649
0.65873998403549	-6.1413552503503
0.66073000431061	-6.1774458199457
