#Parameters = {Conductivity=2500; L=38; Thickness=0.01; W=3; depth=15}
#"Frequency / GHz"	"Realized Gain,3D,Max. Value (Solid Angle) [Real]"
#--------------------------------------------------------------------
0.010000000000000	-85.550729029980
0.10000000000000	-64.050503001066
0.15000000000000	-58.608484313039
0.20000000000000	-54.290013186716
0.25000000000000	-50.878192441674
0.30000000000000	-48.144191519249
0.35000000000000	-45.899377221940
0.40000000000000	-43.997017988665
0.45000000000000	-42.320619978378
0.50000000000000	-40.776537715164
0.55000000000000	-39.293413318402
0.60000000000000	-37.842464062924
0.60900000000000	-37.583446441097
0.65000000000000	-36.412373839314
0.70000000000000	-35.011074570628
0.75000000000000	-33.655598127333
0.80000000000000	-32.363446124971
0.85000000000000	-31.146748689583
0.90000000000000	-30.011074538194
0.95000000000000	-28.958880122045
1.0000000000000	-27.984668380899
1.0500000000000	-27.078664162445
1.1000000000000	-26.228337016317
1.1500000000000	-25.419948271146
1.2000000000000	-24.639763610305
1.2080000000000	-24.516590829717
1.2500000000000	-23.875576365099
1.3000000000000	-23.120272758781
1.3500000000000	-22.369275054239
1.4000000000000	-21.621714734424
1.4500000000000	-20.879688424090
1.5000000000000	-20.147052347120
1.8070000000000	-16.028013659011
2.4060000000000	-8.8008260921430
3.0050000000000	-2.0147700427515
3.6040000000000	1.8903417385852
4.2030000000000	1.0562603218897
4.8020000000000	-0.29980966698140
5.4010000000000	-1.0463428458985
6.0000000000000	-1.2416170450780
