#Parameters = {L=38; Thickness=0.02; W=3; depth=15}
#"Frequency / GHz"	"Realized Gain,3D,Max. Value (Solid Angle) [Real]"
#--------------------------------------------------------------------
0.10000000000000	-50.227302211173
0.15000000000000	-42.197458378627
0.20000000000000	-36.022334759489
0.25000000000000	-30.621091366100
0.30000000000000	-27.876994169935
0.35000000000000	-28.550539430001
0.40000000000000	-28.036782517619
0.45000000000000	-25.258712847748
0.50000000000000	-24.765791887939
0.55000000000000	-26.744230554838
0.60000000000000	-27.775770851646
0.65000000000000	-26.059506474538
0.70000000000000	-23.943937100102
0.75000000000000	-22.558092509887
0.80000000000000	-22.012813255045
0.85000000000000	-21.962631611669
0.90000000000000	-22.226267152470
0.95000000000000	-22.073837343808
1.0000000000000	-22.433326163198
1.0500000000000	-22.872776743742
1.1000000000000	-23.800268765095
1.1500000000000	-24.532942847771
1.2000000000000	-25.512053055620
1.2500000000000	-26.169379845699
1.3000000000000	-26.027697796500
1.3500000000000	-26.059275498311
1.4000000000000	-26.524684689942
1.4500000000000	-27.765560562523
1.5000000000000	-29.326760348519
