#Parameters = {Conductivity=3000; L=38; Thickness=0.01; W=3; depth=15}
#"Frequency / GHz"	"Realized Gain,3D,Max. Value (Solid Angle) (Conductivity=3000) [Real]"
#----------------------------------------------------------------------------------------
0.10000000000000	-50.118656299512
0.15000000000000	-42.147224157999
0.20000000000000	-36.049023032631
0.25000000000000	-30.602917803361
0.30000000000000	-27.846401323955
0.35000000000000	-28.536069611278
0.40000000000000	-28.003968914114
0.45000000000000	-25.253607591662
0.50000000000000	-24.742192766029
0.55000000000000	-26.682379902478
0.60000000000000	-27.736960672384
0.65000000000000	-26.006014601704
0.70000000000000	-23.871973032412
0.75000000000000	-22.483709350284
0.80000000000000	-21.911533950512
0.85000000000000	-21.855305257397
0.90000000000000	-22.105745568746
0.95000000000000	-21.930707252143
1.0000000000000	-22.283582940727
1.0500000000000	-22.741039318513
1.1000000000000	-23.656478115540
1.1500000000000	-24.375812867021
1.2000000000000	-25.354129286531
1.2500000000000	-26.073373084359
1.3000000000000	-25.948007201176
1.3500000000000	-26.020620754885
1.4000000000000	-26.426700102625
1.4500000000000	-27.615415142724
1.5000000000000	-29.295374258401
#Parameters = {Conductivity=500; L=38; Thickness=0.01; W=3; depth=15}
#"Frequency / GHz"	"Realized Gain,3D,Max. Value (Solid Angle) (Conductivity=500) [Real]"
#---------------------------------------------------------------------------------------
0.10000000000000	-50.257534733782
0.15000000000000	-42.298338152260
0.20000000000000	-36.165686173176
0.25000000000000	-30.770568824594
0.30000000000000	-28.076453659768
0.35000000000000	-28.827825653381
0.40000000000000	-28.344518069531
0.45000000000000	-25.732400172912
0.50000000000000	-25.339035723914
0.55000000000000	-27.373106835321
0.60000000000000	-28.635748309879
0.65000000000000	-27.053830429593
0.70000000000000	-25.161274214849
0.75000000000000	-24.004216237117
0.80000000000000	-23.647045793504
0.85000000000000	-23.811439283380
0.90000000000000	-24.326915771705
0.95000000000000	-24.412248748018
1.0000000000000	-24.831792586308
1.0500000000000	-25.188937198989
1.1000000000000	-26.029332215648
1.1500000000000	-26.967556139200
1.2000000000000	-27.970818679082
1.2500000000000	-27.304437839882
1.3000000000000	-27.143936457116
1.3500000000000	-27.482247171528
1.4000000000000	-28.251173521094
1.4500000000000	-29.628089055481
1.5000000000000	-29.927891802418
#Parameters = {Conductivity=1000; L=38; Thickness=0.01; W=3; depth=15}
#"Frequency / GHz"	"Realized Gain,3D,Max. Value (Solid Angle) (Conductivity=1000) [Real]"
#----------------------------------------------------------------------------------------
0.10000000000000	-50.188651590537
0.15000000000000	-42.219062159974
0.20000000000000	-36.106087698147
0.25000000000000	-30.687127481028
0.30000000000000	-27.960952420529
0.35000000000000	-28.677856545031
0.40000000000000	-28.186656574394
0.45000000000000	-25.484307820878
0.50000000000000	-25.028319302429
0.55000000000000	-27.032795490618
0.60000000000000	-28.182989978677
0.65000000000000	-26.529527968062
0.70000000000000	-24.524505610524
0.75000000000000	-23.254855009557
0.80000000000000	-22.805785635218
0.85000000000000	-22.871442632923
0.90000000000000	-23.285909197884
0.95000000000000	-23.240865858609
1.0000000000000	-23.669457696778
1.0500000000000	-24.052171630768
1.1000000000000	-24.944938854625
1.1500000000000	-25.773760403808
1.2000000000000	-26.973998734441
1.2500000000000	-26.817948636203
1.3000000000000	-26.651671716434
1.3500000000000	-26.827846375632
1.4000000000000	-27.438793838179
1.4500000000000	-28.813148565159
1.5000000000000	-30.432346974512
#Parameters = {Conductivity=2000; L=38; Thickness=0.01; W=3; depth=15}
#"Frequency / GHz"	"Realized Gain,3D,Max. Value (Solid Angle) (Conductivity=2000) [Real]"
#----------------------------------------------------------------------------------------
0.10000000000000	-50.138537758741
0.15000000000000	-42.168533761736
0.20000000000000	-36.066024142804
0.25000000000000	-30.627133640464
0.30000000000000	-27.879348084112
0.35000000000000	-28.577011020581
