#Parameters = {Conductivity=300; L=38; Thickness=0.01; W=3; depth=15}
#"Frequency / GHz"	"S1,1 [Magnitude / dB]"
#-----------------------------------------
0.0099999997764826	-33.560126289062
0.011989999562502	-32.306886175454
0.013980000279844	-31.181291622688
0.015969999134541	-30.166819005902
0.017960000783205	-29.247276467541
0.019950000569224	-28.408600945285
0.021940000355244	-27.639059709441
0.023930000141263	-26.928991594137
0.025919999927282	-26.270460327378
0.027909999713302	-25.656908607127
0.029899999499321	-25.082898434946
0.031890001147985	-24.543878282342
0.033879999071360	-24.036015704336
0.035870000720024	-23.556054807671
0.037859998643398	-23.101217146929
0.039850000292063	-22.669108841633
0.041839998215437	-22.257656495480
0.043829999864101	-21.865056423411
0.045820001512766	-21.489726505112
0.047809999436140	-21.130273910922
0.049800001084805	-20.785468198159
0.051789999008179	-20.454213327172
0.053780000656843	-20.135534007329
0.055769998580217	-19.828554074405
0.057760000228882	-19.532485093968
0.059749998152256	-19.246618846320
0.061739999800920	-18.970311507574
0.063730001449585	-18.702978780529
0.065719999372959	-18.444090536040
0.067709997296333	-18.193159195212
0.069700002670288	-17.949742914386
0.071690000593662	-17.713433509377
0.073679998517036	-17.483858005912
0.075669996440411	-17.260669057428
0.077660001814365	-17.043549754921
0.079649999737740	-16.832206574345
0.081639997661114	-16.626365379361
0.083630003035069	-16.425774557391
0.085620000958443	-16.230198915528
0.087609998881817	-16.039422410469
0.089599996805191	-15.853238472970
0.091590002179146	-15.671459184266
0.093580000102520	-15.493907613412
0.095569998025894	-15.320417645301
0.097560003399849	-15.150835742427
0.099550001323223	-14.985018288169
0.10153999924660	-14.822825495424
0.10352999716997	-14.664133382554
0.10552000254393	-14.508821313175
0.10751000046730	-14.356777396951
0.10949999839067	-14.207896080157
0.11148999631405	-14.062076730559
0.11348000168800	-13.919226462217
0.11546999961138	-13.779257114201
0.11745999753475	-13.642085765758
0.11945000290871	-13.507633181178
0.12144000083208	-13.375824884571
0.12342999875546	-13.246591693197
0.12542000412941	-13.119866529007
0.12740999460220	-12.995585404942
0.12939999997616	-12.873688939989
0.13139000535011	-12.754121635061
0.13337999582291	-12.636827314578
0.13537000119686	-12.521756027786
0.13736000657082	-12.408859032062
0.13934999704361	-12.298089253021
0.14134000241756	-12.189402019784
0.14332999289036	-12.082753783418
0.14531999826431	-11.978106080530
0.14731000363827	-11.875416500962
0.14929999411106	-11.774648545160
0.15128999948502	-11.675766872151
0.15328000485897	-11.578735663182
0.15526999533176	-11.483520213736
0.15726000070572	-11.390089109478
0.15925000607967	-11.298409630598
0.16123999655247	-11.208451442342
0.16323000192642	-11.120184673571
0.16522000730038	-11.033577612157
0.16720999777317	-10.948604976150
0.16920000314713	-10.865236621591
0.17118999361992	-10.783445369930
0.17317999899387	-10.703204698527
0.17517000436783	-10.624486809843
0.17715999484062	-10.547265870738
0.17915000021458	-10.471518864060
0.18114000558853	-10.397215238380
0.18312999606133	-10.324335055044
0.18512000143528	-10.252849836918
0.18711000680923	-10.182735100359
0.18909999728203	-10.113967595593
0.19109000265598	-10.046521898106
0.19307999312878	-9.9803766734256
0.19506999850273	-9.9155028560695
0.19706000387669	-9.8518818149776
0.19904999434948	-9.7894862675298
0.20103999972343	-9.7282943592119
0.20303000509739	-9.6682820455551
0.20501999557018	-9.6094263031147
0.20701000094414	-9.5517065580765
0.20900000631809	-9.4950968473815
0.21098999679089	-9.4395740921682
0.21298000216484	-9.3851200699731
0.21496999263763	-9.3317096940249
0.21695999801159	-9.2793205707214
0.21895000338554	-9.2279324981596
0.22093999385834	-9.1775252102879
0.22292999923229	-9.1280756747564
0.22492000460625	-9.0795652671503
0.22690999507904	-9.0319713032106
0.22890000045300	-8.9852756956871
0.23089000582695	-8.9394589070332
0.23287999629974	-8.8945002466799
0.23487000167370	-8.8503836514049
0.23686000704765	-8.8070924053818
0.23884999752045	-8.7646058215990
0.24084000289440	-8.7229083387423
0.24282999336720	-8.6819834039070
0.24481999874115	-8.6418170937591
0.24681000411510	-8.6023933250444
0.24879999458790	-8.5636971283795
0.25078999996185	-8.5257175773344
0.25277999043465	-8.4884393252289
0.25477001070976	-8.4518504521470
0.25676000118256	-8.4159425214321
0.25874999165535	-8.3807016027781
0.26074001193047	-8.3461184159033
0.26273000240326	-8.3121864102278
0.26471999287605	-8.2788961966501
0.26671001315117	-8.2462390786875
0.26870000362396	-8.2142106447629
0.27068999409676	-8.1828029047991
0.27268001437187	-8.1520120218100
0.27467000484467	-8.1218365753163
0.27665999531746	-8.0922677621197
0.27864998579025	-8.0633061665977
0.28064000606537	-8.0349489293006
0.28262999653816	-8.0071960695647
0.28461998701096	-7.9800460951073
0.28661000728607	-7.9535003646310
0.28859999775887	-7.9275574993151
0.29058998823166	-7.9022209832742
0.29258000850677	-7.8774909955294
0.29456999897957	-7.8533726117216
0.29655998945236	-7.8298658599933
0.29855000972748	-7.8069767201760
0.30054000020027	-7.7847086981191
0.30252999067307	-7.7630654693416
0.30452001094818	-7.7420514216774
0.30651000142097	-7.7216718921642
0.30849999189377	-7.7019340206545
0.31049001216888	-7.6828399936813
0.31248000264168	-7.6643967406148
0.31446999311447	-7.6466099849284
0.31646001338959	-7.6294856622244
0.31845000386238	-7.6130281657674
0.32043999433517	-7.5972444279709
0.32243001461029	-7.5821399986413
0.32442000508308	-7.5677189502140
0.32640999555588	-7.5539864154669
0.32839998602867	-7.5409490851546
0.33039000630379	-7.5286093681726
0.33237999677658	-7.5169719800668
0.33436998724937	-7.5060419470042
0.33636000752449	-7.4958211800099
0.33834999799728	-7.4863147720622
0.34033998847008	-7.4775213721782
0.34233000874519	-7.4694462399678
0.34431999921799	-7.4620881870526
0.34630998969078	-7.4554498749050
0.34830000996590	-7.4495295069763
0.35029000043869	-7.4443281829784
0.35227999091148	-7.4398420973746
0.35427001118660	-7.4360716148103
0.35626000165939	-7.4330127050657
0.35824999213219	-7.4306600066512
0.36024001240730	-7.4290105633026
0.36223000288010	-7.4280604637783
0.36421999335289	-7.4278020930050
0.36621001362801	-7.4282277653236
0.36820000410080	-7.4293313786893
0.37018999457359	-7.4311035682959
0.37218001484871	-7.4335356926750
0.37417000532150	-7.4366171273107
0.37615999579430	-7.4403373819638
0.37814998626709	-7.4446835748597
0.38014000654221	-7.4496451171898
0.38212999701500	-7.4552079166838
0.38411998748779	-7.4613587544858
0.38611000776291	-7.4680827204751
0.38809999823570	-7.4753646145400
0.39008998870850	-7.4831891968906
0.39208000898361	-7.4915401908928
0.39406999945641	-7.5004011088142
0.39605998992920	-7.5097544365142
0.39805001020432	-7.5195822409553
0.40004000067711	-7.5298667561437
0.40202999114990	-7.5405907349496
0.40402001142502	-7.5517346413525
0.40601000189781	-7.5632813136505
0.40799999237061	-7.5752109796498
0.40999001264572	-7.5875036297007
0.41198000311852	-7.6001436354171
0.41396999359131	-7.6131115073764
0.41596001386642	-7.6263881127283
0.41795000433922	-7.6399560262948
0.41993999481201	-7.6537973196312
0.42192998528481	-7.6678938630292
0.42392000555992	-7.6822308985266
0.42590999603271	-7.6967902259909
0.42789998650551	-7.7115584135934
0.42989000678062	-7.7265193128075
0.43187999725342	-7.7416583950165
0.43386998772621	-7.7569631778047
0.43586000800133	-7.7724206751529
0.43784999847412	-7.7880211392583
0.43983998894691	-7.8037539067004
0.44183000922203	-7.8196084806158
0.44381999969482	-7.8355774522387
0.44580999016762	-7.8516545722232
0.44780001044273	-7.8678334245758
0.44979000091553	-7.8841094449581
0.45177999138832	-7.9004808121582
0.45377001166344	-7.9169446709463
0.45576000213623	-7.9335018285236
0.45774999260902	-7.9501514153502
0.45974001288414	-7.9668964392994
0.46173000335693	-7.9837402312733
0.46371999382973	-8.0006879060906
0.46571001410484	-8.0177457805489
0.46770000457764	-8.0349211288537
0.46968999505043	-8.0522230733685
0.47167998552322	-8.0696596865516
0.47367000579834	-8.0872448225635
0.47565999627113	-8.1049883639801
0.47764998674393	-8.1229037113249
0.47964000701904	-8.1410068481676
0.48162999749184	-8.1593124076548
0.48361998796463	-8.1778343891541
0.48561000823975	-8.1965934033113
0.48759999871254	-8.2156055205344
0.48958998918533	-8.2348873806256
0.49158000946045	-8.2544601237275
0.49356999993324	-8.2743419701365
0.49555999040604	-8.2945551292595
0.49755001068115	-8.3151165917265
0.49954000115395	-8.3360498620459
0.50152999162674	-8.3573740551856
0.50352001190186	-8.3791099638527
0.50550997257233	-8.4012801287407
