#Parameters = {Conductivity=3000; L=38; Thickness=0.01; W=3; depth=15}
#"Frequency / GHz"	"Realized Gain,3D,Max. Value (Solid Angle) [Real]"
#--------------------------------------------------------------------
0.10000000000000	-50.118656299512
0.15000000000000	-42.147224157999
0.20000000000000	-36.049023032631
0.25000000000000	-30.602917803361
0.30000000000000	-27.846401323955
0.35000000000000	-28.536069611278
0.40000000000000	-28.003968914114
0.45000000000000	-25.253607591662
0.50000000000000	-24.742192766029
0.55000000000000	-26.682379902478
0.60000000000000	-27.736960672384
0.65000000000000	-26.006014601704
0.70000000000000	-23.871973032412
0.75000000000000	-22.483709350284
0.80000000000000	-21.911533950512
0.85000000000000	-21.855305257397
0.90000000000000	-22.105745568746
0.95000000000000	-21.930707252143
1.0000000000000	-22.283582940727
1.0500000000000	-22.741039318513
1.1000000000000	-23.656478115540
1.1500000000000	-24.375812867021
1.2000000000000	-25.354129286531
1.2500000000000	-26.073373084359
1.3000000000000	-25.948007201176
1.3500000000000	-26.020620754885
1.4000000000000	-26.426700102625
1.4500000000000	-27.615415142724
1.5000000000000	-29.295374258401
